killed_by,killer_placement,killer_position_x,killer_position_y,victim_placement,victim_position_x,victim_position_y,vektorX,vektorY,vzdialenost
AKM,12.0,376333,317858,15.0,372808,297124,3525,20734,21031
AKM,25.0,368799,420810,43.0,368015,421322,784,512,936
Kar98k,1.0,537062,262886,7.0,531516,261727,5546,1159,5665
Kar98k,10.0,523742,358413,14.0,539250,369010,15508,10597,18782
Kar98k,1.0,566307,267828,5.0,581870,262490,15563,5338,16453
AKM,25.0,368738,417488,26.0,368821,417726,83,238,252
AKM,25.0,361569,419730,36.0,361278,419166,291,564,634
AKM,25.0,369184,421062,43.0,368332,421274,852,212,877
Kar98k,1.0,421409,284009,12.0,363693,269831,57716,14178,59431
Kar98k,1.0,434681,281067,12.0,367543,249424,67138,31643,74221
AKM,8.0,375674,444623,14.0,365746,440418,9928,4205,10781
AKM,23.0,438738,280966,20.0,439108,280929,370,37,371
AKM,11.0,314694,357176,11.0,314933,357130,239,46,243
Kar98k,1.0,381091,280262,12.0,407818,249801,26727,30461,40524
AKM,7.0,445178,337286,16.0,449462,336773,4284,513,4314
Kar98k,1.0,212004,486172,10.0,215569,496083,3565,9911,10532
Kar98k,2.0,171708,537506,5.0,151591,533191,20117,4315,20574
AKM,10.0,364339,417049,18.0,364939,417482,600,433,739
AKM,26.0,389574,289679,35.0,391384,286871,1810,2808,3340
AKM,15.0,387202,118964,40.0,386767,118908,435,56,438
Kar98k,1.0,367444,284770,8.0,391152,284914,23708,144,23708
AKM,9.0,361280,395966,43.0,355992,400738,5288,4772,7122
AKM,1.0,396662,307742,2.0,396531,304991,131,2751,2754
AKM,1.0,387145,313930,3.0,388729,313930,1584,0,1584
AKM,15.0,386888,115383,40.0,387569,116193,681,810,1058
AKM,1.0,384718,315072,3.0,385597,315398,879,326,937
AKM,21.0,423913,326107,33.0,420920,324385,2993,1722,3453
AKM,21.0,422166,327937,33.0,421928,328134,238,197,308
AKM,9.0,361247,395928,43.0,356090,400734,5157,4806,7049
AKM,25.0,417469,330103,21.0,417447,329788,22,315,315
AKM,26.0,392153,286311,35.0,393994,286163,1841,148,1846
AKM,4.0,347226,142356,9.0,345692,141435,1534,921,1789
Kar98k,17.0,198664,237887,48.0,0,0,198664,237887,309931
AKM,4.0,370007,170078,11.0,371297,168383,1290,1695,2130
AKM,4.0,357546,246166,24.0,357253,245785,293,381,480
Kar98k,1.0,348392,121524,7.0,346781,129334,1611,7810,7974
Kar98k,15.0,388931,172113,30.0,395028,169433,6097,2680,6660
AKM,26.0,396302,308738,35.0,398414,308418,2112,320,2136
AKM,21.0,367417,264989,32.0,368316,259026,899,5963,6030
AKM,55.0,314337,355984,80.0,315840,355402,1503,582,1611
AKM,3.0,281421,397809,49.0,280583,396967,838,842,1187
AKM,3.0,283391,400400,53.0,283043,400207,348,193,397
Kar98k,1.0,361472,122103,4.0,368707,124496,7235,2393,7620
AKM,7.0,450573,299042,62.0,450429,299196,144,154,210
AKM,7.0,288064,265914,47.0,288712,266447,648,533,839
AKM,14.0,395278,291034,25.0,392752,292995,2526,1961,3197
AKM,23.0,367727,361541,54.0,367872,361507,145,34,148
AKM,4.0,343592,138725,8.0,344027,145986,435,7261,7274
AKM,4.0,358018,245530,21.0,362724,245762,4706,232,4711
Kar98k,1.0,349026,121831,6.0,373690,111110,24664,10721,26893
Kar98k,1.0,401374,653445,2.0,402407,645806,1033,7639,7708
AKM,25.0,467901,643930,36.0,468285,644154,384,224,444
AKM,32.0,447376,629079,44.0,447186,629021,190,58,198
AKM,3.0,366829,589552,12.0,318726,569325,48103,20227,52182
AKM,23.0,539514,464277,35.0,539381,464634,133,357,380
Kar98k,2.0,557957,565597,13.0,539799,563442,18158,2155,18285
AKM,25.0,467719,643482,38.0,468049,643809,330,327,464
Kar98k,2.0,552855,570465,16.0,557295,564318,4440,6147,7582
Kar98k,1.0,424845,452358,14.0,418694,454533,6151,2175,6524
AKM,11.0,627148,378717,24.0,627816,378862,668,145,683
Kar98k,19.0,446889,620514,25.0,445377,615623,1512,4891,5119
AKM,1.0,701356,253777,6.0,701034,253439,322,338,466
AKM,10.0,564897,386181,35.0,565023,386464,126,283,309
Kar98k,6.0,392963,348742,47.0,392963,349022,0,280,280
AKM,7.0,419844,481189,24.0,417015,480932,2829,257,2840
AKM,9.0,363903,409837,26.0,364033,410100,130,263,293
AKM,9.0,664340,298305,12.0,664125,298315,215,10,215
M24,2.0,682717,259434,3.0,698174,258664,15457,770,15476
AKM,10.0,564234,385344,34.0,565001,386131,767,787,1098
AKM,7.0,419605,480595,20.0,421282,483444,1677,2849,3305
AKM,3.0,342820,320401,22.0,342963,320651,143,250,288
AKM,26.0,606883,593266,25.0,607097,593130,214,136,253
AKM,25.0,606740,593221,26.0,606788,593342,48,121,130
AKM,12.0,368396,417095,27.0,368215,417052,181,43,186
AWM,2.0,236639,450001,4.0,238852,455385,2213,5384,5821
AKM,23.0,606895,593232,25.0,606671,594519,224,1287,1306
AKM,15.0,490612,365409,19.0,500358,367665,9746,2256,10003
AKM,6.0,407151,294720,29.0,408966,294599,1815,121,1819
AKM,3.0,616177,498602,12.0,617458,496500,1281,2102,2461
AKM,6.0,408439,295238,29.0,409168,294319,729,919,1173
AKM,15.0,490158,360208,24.0,486361,361774,3797,1566,4107
Kar98k,11.0,617957,416250,14.0,610415,417632,7542,1382,7667
AKM,6.0,587312,455565,7.0,587959,454216,647,1349,1496
AKM,1.0,587647,450418,10.0,589073,448844,1426,1574,2123
AKM,3.0,580124,463543,4.0,579619,460654,505,2889,2932
Kar98k,19.0,497301,362635,21.0,490975,366993,6326,4358,7681
AKM,1.0,706583,452973,30.0,704187,455718,2396,2745,3643
AKM,15.0,536898,415637,17.0,538295,412968,1397,2669,3012
AKM,3.0,581195,484102,8.0,582061,484529,866,427,965
AKM,3.0,579177,487610,8.0,579862,487745,685,135,698
M24,2.0,729731,419614,4.0,734226,417697,4495,1917,4886
AKM,17.0,397817,352754,,400003,352338,2186,416,2225
Kar98k,1.0,725959,412450,2.0,726665,422532,706,10082,10106
AKM,5.0,404239,303723,28.0,402549,303860,1690,137,1695
AKM,30.0,444539,329906,35.0,443945,330100,594,194,624
AKM,47.0,355004,321750,12.0,354909,321516,95,234,252
M24,2.0,729779,419627,4.0,731559,418284,1780,1343,2229
AKM,7.0,368613,418849,17.0,367399,419664,1214,815,1462
AKM,6.0,533002,377841,20.0,533684,376277,682,1564,1706
AKM,3.0,479092,581662,4.0,478817,581563,275,99,292
AKM,23.0,705195,343838,25.0,705371,342102,176,1736,1744
AKM,25.0,705149,337438,23.0,704203,338218,946,780,1226
AKM,23.0,705566,343660,25.0,704132,343795,1434,135,1440
AKM,7.0,366870,418578,16.0,365209,418892,1661,314,1690
AKM,27.0,163445,593694,14.0,162474,594684,971,990,1386
AKM,7.0,371458,410902,17.0,371662,410755,204,147,251
Kar98k,16.0,363985,424668,17.0,362345,417986,1640,6682,6880
AKM,3.0,437066,592080,4.0,437244,591989,178,91,199
AKM,16.0,157240,276259,14.0,155481,276859,1759,600,1858
AKM,15.0,424307,325383,24.0,424299,325578,8,195,195
AKM,15.0,424038,323586,23.0,420535,323787,3503,201,3508
AKM,15.0,425462,325618,18.0,424878,325497,584,121,596
AKM,15.0,420749,324661,22.0,420570,325094,179,433,468
AKM,16.0,157930,275875,14.0,157815,275758,115,117,164
Kar98k,1.0,325597,512951,3.0,330961,493242,5364,19709,20425
AKM,6.0,396007,355402,19.0,396233,354698,226,704,739
AKM,2.0,158904,276730,14.0,158558,276415,346,315,467
AKM,6.0,394983,355746,19.0,395066,355974,83,228,242
AKM,15.0,425784,325359,24.0,425851,324777,67,582,585
AKM,13.0,550170,252938,7.0,550156,253058,14,120,120
AKM,13.0,549749,252997,7.0,549989,253527,240,530,581
AKM,7.0,549715,253220,13.0,549810,252939,95,281,296
AKM,17.0,417856,330156,21.0,417818,328494,38,1662,1662
Kar98k,7.0,125469,404989,6.0,124837,380266,632,24723,24731
AKM,7.0,359290,409539,15.0,359570,409799,280,260,382
AKM,7.0,361427,411266,15.0,360856,412411,571,1145,1279
AKM,24.0,601802,476273,20.0,601617,476849,185,576,604
Kar98k,3.0,155951,378382,5.0,158534,392617,2583,14235,14467
Kar98k,4.0,148460,369497,8.0,136837,367717,11623,1780,11758
AKM,16.0,432355,637566,26.0,432636,637319,281,247,374
Kar98k,4.0,148437,370996,6.0,124928,380037,23509,9041,25187
AKM,7.0,96796,455352,10.0,87569,451128,9227,4224,10147
AKM,16.0,432376,637590,23.0,432732,637258,356,332,486
AKM,17.0,423346,324541,21.0,423111,324684,235,143,275
AKM,7.0,97633,460413,10.0,85413,454146,12220,6267,13733
AKM,78.0,488683,347914,87.0,488594,347804,89,110,141
AWM,7.0,187687,519755,11.0,202972,512708,15285,7047,16831
AKM,20.0,489717,343748,72.0,489650,348002,67,4254,4254
AKM,35.0,386613,119403,64.0,387178,120166,565,763,949
AKM,58.0,395698,284545,82.0,397945,285996,2247,1451,2674
Kar98k,1.0,205963,503775,4.0,194841,499434,11122,4341,11939
Kar98k,3.0,198514,520480,7.0,201394,514193,2880,6287,6915
AKM,46.0,114057,288302,62.0,115984,286395,1927,1907,2711
Kar98k,1.0,315667,465786,33.0,296805,453188,18862,12598,22682
Kar98k,1.0,377951,373201,40.0,381478,357285,3527,15916,16302
M24,5.0,329109,551762,29.0,326938,551760,2171,2,2171
AKM,21.0,416728,477034,27.0,416373,478828,355,1794,1828
AKM,21.0,415936,476171,27.0,416206,476201,270,30,271
AKM,3.0,202469,289579,31.0,206692,291846,4223,2267,4793
AKM,1.0,138070,451772,3.0,142696,452160,4626,388,4642
AKM,1.0,70217,492626,14.0,69981,492563,236,63,244
Kar98k,19.0,457221,644404,30.0,463781,644509,6560,105,6560
AKM,30.0,466549,642100,39.0,465845,641276,704,824,1083
AKM,19.0,460757,644124,30.0,463153,644338,2396,214,2405
AKM,5.0,326612,392129,13.0,321176,395913,5436,3784,6623
AKM,13.0,445403,626903,29.0,445003,624288,400,2615,2645
AKM,21.0,381104,476814,11.0,381971,476591,867,223,895
Kar98k,19.0,438028,623106,24.0,439455,629014,1427,5908,6077
AKM,21.0,380498,475262,11.0,380502,476553,4,1291,1291
AKM,18.0,201837,238113,23.0,201675,238321,162,208,263
Kar98k,19.0,439221,628085,24.0,438365,619807,856,8278,8322
AKM,5.0,146991,448524,4.0,148368,448353,1377,171,1387
AKM,11.0,164083,403195,16.0,163242,404156,841,961,1277
Kar98k,30.0,427250,318115,32.0,433414,311546,6164,6569,9008
Kar98k,1.0,245112,480277,4.0,243009,483492,2103,3215,3841
M24,11.0,191964,456079,13.0,204502,459698,12538,3619,13049
AKM,14.0,210289,467865,19.0,209399,469393,890,1528,1768
M24,3.0,514105,354729,,508927,358780,5178,4051,6574
AKM,17.0,615762,498085,18.0,616098,498389,336,304,453
AKM,5.0,547109,327913,7.0,543892,328098,3217,185,3222
AKM,5.0,549922,330832,6.0,551785,333871,1863,3039,3564
AKM,17.0,614996,481983,18.0,615311,481678,315,305,438
Kar98k,2.0,510104,352393,3.0,514116,354683,4012,2290,4619
AKM,7.0,539068,237610,10.0,539162,238032,94,422,432
AKM,9.0,502838,325901,2.0,502890,327706,52,1805,1805
Kar98k,2.0,451849,628883,19.0,451633,621680,216,7203,7206
AKM,2.0,445609,623408,12.0,451437,624453,5828,1045,5920
AKM,16.0,549431,594384,15.0,550854,593436,1423,948,1709
AKM,9.0,503244,325952,2.0,503236,326528,8,576,576
AKM,18.0,616165,498133,17.0,615975,498271,190,138,234
AKM,11.0,465453,368024,13.0,467475,368663,2022,639,2120
AKM,18.0,615474,496148,17.0,615491,496004,17,144,145
AKM,18.0,616221,497774,17.0,616159,498118,62,344,349
AKM,15.0,624541,602254,23.0,624157,602702,384,448,590
AKM,3.0,357025,408616,13.0,358737,410214,1712,1598,2341
AKM,20.0,617629,618980,25.0,617631,618696,2,284,284
AKM,2.0,628382,607553,4.0,627743,608039,639,486,802
AKM,3.0,615064,591544,5.0,615155,589790,91,1754,1756
AKM,19.0,387646,118935,23.0,387808,118902,162,33,165
AKM,28.0,387192,138953,24.0,386842,138205,350,748,825
AKM,7.0,435701,418943,11.0,434715,416778,986,2165,2378
AKM,5.0,533080,221757,18.0,531970,221950,1110,193,1126
AKM,14.0,159847,619126,15.0,160285,619354,438,228,493
AKM,1.0,360557,404026,27.0,359899,404566,658,540,851
AKM,11.0,500742,422974,19.0,500424,422223,318,751,815
AKM,1.0,359356,408255,27.0,361026,409488,1670,1233,2075
AKM,5.0,711014,451803,10.0,702667,450433,8347,1370,8458
AKM,6.0,614204,366302,15.0,613933,364201,271,2101,2118
Kar98k,1.0,658955,471802,2.0,649633,460224,9322,11578,14864
AKM,15.0,573957,332135,18.0,574816,327704,859,4431,4513
AKM,2.0,555889,532422,16.0,556235,530735,346,1687,1722
AKM,23.0,368356,400462,9.0,368302,400674,54,212,218
AKM,23.0,368364,400474,9.0,368383,400636,19,162,163
AKM,1.0,553543,248627,20.0,544217,253938,9326,5311,10732
Kar98k,3.0,408326,136414,4.0,410415,153974,2089,17560,17683
Kar98k,3.0,0,0,4.0,413753,139197,413753,139197,436540
AKM,1.0,389876,286284,23.0,388666,286628,1210,344,1257
AKM,2.0,408752,154221,3.0,402021,141116,6731,13105,14732
AKM,5.0,337668,218442,10.0,337674,219006,6,564,564
Kar98k,3.0,417454,130420,,406739,130762,10715,342,10720
AKM,8.0,200817,286703,25.0,200499,287027,318,324,453
AKM,6.0,498452,495017,12.0,495420,496884,3032,1867,3560
AKM,16.0,139622,602342,17.0,139424,602691,198,349,401
AKM,18.0,365832,439692,5.0,366061,438828,229,864,893
AKM,16.0,145970,602528,17.0,145777,602311,193,217,290
AKM,16.0,145870,602413,17.0,145746,601777,124,636,647
AKM,5.0,386935,419949,13.0,379917,415979,7018,3970,8063
AKM,11.0,502189,632175,16.0,508112,637508,5923,5333,7970
AKM,52.0,382295,571893,75.0,382430,572034,135,141,195
AKM,17.0,233426,521530,61.0,233021,520996,405,534,670
AKM,2.0,378680,638813,25.0,380618,647081,1938,8268,8492
AKM,11.0,395573,498220,50.0,392441,501949,3132,3729,4869
AKM,16.0,376222,419142,60.0,375702,418668,520,474,703
AKM,16.0,376538,418736,61.0,376644,418581,106,155,187
AKM,2.0,552836,571067,40.0,552276,570406,560,661,866
Kar98k,36.0,431023,628927,83.0,431283,628835,260,92,275
M24,3.0,399474,628988,13.0,377222,651918,22252,22930,31952
AKM,4.0,440831,603586,6.0,440292,604336,539,750,923
AKM,41.0,448379,628998,74.0,448741,629167,362,169,399
AKM,16.0,349728,432130,27.0,345591,432768,4137,638,4185
AKM,12.0,371053,367674,42.0,367803,363716,3250,3958,5121
AKM,44.0,423390,324864,73.0,420787,324589,2603,275,2617
AKM,51.0,619582,618430,53.0,617470,615419,2112,3011,3677
AKM,2.0,549919,574959,22.0,551895,571474,1976,3485,4006
Kar98k,1.0,420566,615642,3.0,416407,607946,4159,7696,8747
AKM,11.0,372580,508578,39.0,376509,511160,3929,2582,4701
AKM,2.0,438171,603068,5.0,415360,604839,22811,1771,22879
AKM,30.0,481249,295213,66.0,480860,295662,389,449,594
AKM,41.0,446521,629261,62.0,450662,629568,4141,307,4152
M24,3.0,399187,629257,9.0,399085,635722,102,6465,6465
AKM,4.0,434653,588098,11.0,437128,588513,2475,415,2509
AKM,1.0,702504,343823,55.0,703419,343283,915,540,1062
M24,3.0,399279,628753,12.0,400132,621966,853,6787,6840
AKM,45.0,547750,501693,53.0,543946,504129,3804,2436,4517
M24,33.0,274714,491264,35.0,277159,528445,2445,37181,37261
AKM,3.0,678072,511459,84.0,678129,511546,57,87,104
AKM,45.0,547820,501240,55.0,548885,499562,1065,1678,1987
AKM,76.0,418630,324372,92.0,418624,325515,6,1143,1143
M24,5.0,213392,550491,11.0,217105,557956,3713,7465,8337
AWM,2.0,160939,563922,22.0,167764,569821,6825,5899,9021
AKM,49.0,370164,358132,65.0,370627,357940,463,192,501
AKM,83.0,627167,607591,88.0,629011,609801,1844,2210,2878
AKM,7.0,159343,565874,16.0,154354,574525,4989,8651,9986
AKM,56.0,421081,324098,79.0,420924,324912,157,814,829
AWM,2.0,151520,526952,12.0,168427,512735,16907,14217,22090
AKM,21.0,281438,570214,34.0,280135,571232,1303,1018,1653
M24,17.0,250672,542511,18.0,242512,527596,8160,14915,17001
Kar98k,53.0,599375,467571,71.0,600224,468375,849,804,1169
M24,46.0,410259,478138,58.0,415301,476877,5042,1261,5197
AKM,9.0,243586,228689,14.0,248144,233215,4558,4526,6423
AKM,5.0,252172,191675,15.0,251669,191822,503,147,524
AKM,17.0,271061,561821,36.0,272584,561866,1523,45,1523
AKM,17.0,271338,563784,36.0,272341,563935,1003,151,1014
AKM,20.0,249294,428012,25.0,249336,429612,42,1600,1600
AKM,9.0,237194,208314,10.0,232768,207559,4426,755,4489
AKM,20.0,245079,442835,25.0,249706,436947,4627,5888,7488
AKM,31.0,290220,446900,47.0,290800,447080,580,180,607
AKM,17.0,272229,308554,20.0,270813,304493,1416,4061,4300
Kar98k,7.0,211654,276982,30.0,210757,272536,897,4446,4535
AKM,5.0,251381,191602,13.0,252287,191078,906,524,1046
AKM,9.0,540440,454066,17.0,540915,454731,475,665,817
Kar98k,1.0,279281,475944,2.0,271677,484179,7604,8235,11208
AKM,4.0,298210,484525,15.0,297727,483956,483,569,746
Kar98k,3.0,548462,250212,9.0,543632,251221,4830,1009,4934
AKM,16.0,263894,276328,20.0,264062,278491,168,2163,2169
AKM,3.0,546163,250292,9.0,547275,253398,1112,3106,3299
Kar98k,7.0,453766,199020,15.0,451509,206796,2257,7776,8096
AKM,12.0,389678,169008,19.0,387788,167535,1890,1473,2396
Kar98k,1.0,360728,319199,14.0,372380,316941,11652,2258,11868
Kar98k,3.0,550889,363251,2.0,551037,336585,148,26666,26666
AKM,25.0,630894,610039,18.0,630632,609084,262,955,990
AKM,21.0,385386,122126,23.0,386108,119409,722,2717,2811
AKM,8.0,383065,114672,21.0,385568,119114,2503,4442,5098
AKM,18.0,618977,599982,15.0,619449,600657,472,675,823
AKM,17.0,443791,335464,22.0,443939,335285,148,179,232
AKM,4.0,432870,448414,3.0,432871,448727,1,313,313
AKM,4.0,573653,383407,28.0,572785,384531,868,1124,1420
AKM,24.0,431865,639942,33.0,437444,640147,5579,205,5582
AKM,4.0,569845,378942,28.0,569628,379220,217,278,352
AKM,4.0,467631,370197,17.0,468606,369585,975,612,1151
Kar98k,1.0,217788,283219,46.0,226718,290454,8930,7235,11493
AKM,28.0,426222,345758,34.0,426962,342705,740,3053,3141
AKM,7.0,245483,433788,56.0,245249,433519,234,269,356
AKM,39.0,363072,403868,43.0,362976,403676,96,192,214
AKM,7.0,249273,428219,52.0,248815,427065,458,1154,1241
Kar98k,1.0,212723,267702,76.0,213997,267913,1274,211,1291
AKM,59.0,398802,353476,68.0,398548,352732,254,744,786
AKM,10.0,315940,354001,18.0,326191,354473,10251,472,10261
Kar98k,1.0,228947,325387,24.0,225747,343393,3200,18006,18288
AKM,31.0,349998,313046,47.0,350849,313519,851,473,973
Kar98k,1.0,150292,290963,42.0,143964,304573,6328,13610,15009
Kar98k,1.0,231078,324574,22.0,255328,346747,24250,22173,32858
Kar98k,1.0,230671,325350,26.0,254095,358904,23424,33554,40921
AKM,3.0,269418,280394,8.0,269934,286383,516,5989,6011
AKM,23.0,367473,437739,65.0,367108,437514,365,225,428
AWM,1.0,490502,431289,17.0,450138,430716,40364,573,40368
AWM,1.0,471725,467391,4.0,466638,487618,5087,20227,20856
AKM,23.0,379917,425213,40.0,379656,425893,261,680,728
AKM,15.0,365315,266431,37.0,367400,266292,2085,139,2089
AWM,1.0,462786,434648,12.0,454214,439942,8572,5294,10074
AWM,1.0,492614,429372,15.0,491784,420687,830,8685,8724
AKM,22.0,319200,340021,59.0,320995,339918,1795,103,1797
AKM,23.0,370938,432375,50.0,370802,432867,136,492,510
AKM,6.0,471254,492486,16.0,469613,493770,1641,1284,2083
Kar98k,12.0,453864,440444,13.0,460384,435213,6520,5231,8359
AKM,17.0,364390,415795,32.0,364399,416030,9,235,235
AKM,17.0,449191,621160,32.0,449311,621334,120,174,211
AKM,1.0,576631,123122,8.0,577995,129137,1364,6015,6167
AKM,24.0,376733,133865,37.0,381181,132337,4448,1528,4703
AKM,26.0,422129,324563,40.0,423210,324853,1081,290,1119
AKM,23.0,209094,268115,34.0,210864,276743,1770,8628,8807
AKM,14.0,467960,368821,27.0,467757,368767,203,54,210
Kar98k,9.0,565834,384167,32.0,565871,384751,37,584,585
AKM,27.0,419299,290458,4.0,418903,288874,396,1584,1632
AKM,4.0,473545,336039,9.0,473586,337347,41,1308,1308
Kar98k,19.0,441576,393678,21.0,438980,395563,2596,1885,3208
AKM,6.0,293306,498272,35.0,293550,499347,244,1075,1102
AKM,3.0,627969,191697,7.0,629016,192426,1047,729,1275
AKM,7.0,561721,133911,25.0,558024,131530,3697,2381,4397
AKM,7.0,578040,190345,11.0,579509,191644,1469,1299,1960
Kar98k,4.0,494319,179292,13.0,482602,187410,11717,8118,14254
Kar98k,7.0,624136,601892,41.0,627039,614920,2903,13028,13347
