killed_by,killer_placement,killer_position_x,killer_position_y,victim_placement,victim_position_x,victim_position_y,vektorX,vektorY,vzdialenost
AKM,39.0,200673,277455,94.0,198508,279949,2165,2494,3302
AKM,39.0,197338,277328,90.0,197482,276125,144,1203,1211
AKM,1.0,171517,353269,36.0,172423,354057,906,788,1200
AKM,2.0,361681,437788,6.0,362718,437591,1037,197,1055
AKM,1.0,206614,378641,32.0,207792,378331,1178,310,1218
AKM,49.0,367264,510579,81.0,367238,508867,26,1712,1712
AKM,53.0,291022,449242,58.0,290677,447889,345,1353,1396
AKM,22.0,636037,615685,43.0,636254,614607,217,1078,1099
AKM,11.0,280575,520070,67.0,280884,521186,309,1116,1157
M24,24.0,375362,535165,25.0,351606,511570,23756,23595,33482
Kar98k,9.0,415606,511895,22.0,405241,514807,10365,2912,10766
AKM,31.0,369274,269309,39.0,371049,268973,1775,336,1806
AKM,11.0,266204,523013,32.0,266024,523082,180,69,192
AKM,10.0,561051,501869,10.0,560835,502260,216,391,446
AKM,5.0,587873,451449,10.0,577407,459423,10466,7974,13157
AKM,11.0,588185,451139,12.0,588639,451544,454,405,608
Kar98k,2.0,642847,372877,3.0,649196,371032,6349,1845,6611
AKM,11.0,586494,454156,12.0,587635,451933,1141,2223,2498
AKM,35.0,468587,640617,19.0,468584,641274,3,657,657
AKM,3.0,666576,309384,16.0,666549,309741,27,357,358
Kar98k,4.0,670482,308564,10.0,675708,323466,5226,14902,15791
AKM,3.0,666288,309313,16.0,666574,309472,286,159,327
AKM,23.0,628195,383887,29.0,627972,383120,223,767,798
Kar98k,2.0,623848,388171,14.0,614983,367539,8865,20632,22455
AKM,33.0,439322,636076,34.0,437724,623194,1598,12882,12980
AKM,23.0,628233,384075,29.0,627412,383834,821,241,855
AKM,5.0,489925,443736,25.0,490677,441146,752,2590,2696
AKM,18.0,599786,467991,30.0,600137,468503,351,512,620
AKM,5.0,285104,283741,11.0,283980,280796,1124,2945,3152
AKM,1.0,175532,200234,15.0,173436,198643,2096,1591,2631
AKM,22.0,304096,506406,39.0,304025,503278,71,3128,3128
AKM,1.0,276149,253948,2.0,274127,254196,2022,248,2037
AKM,14.0,324428,526552,27.0,313801,526129,10627,423,10635
Kar98k,2.0,108682,123568,31.0,113251,122261,4569,1307,4752
Kar98k,10.0,412511,627034,24.0,412221,619593,290,7441,7446
AWM,2.0,274171,253886,6.0,288788,256721,14617,2835,14889
AKM,4.0,287752,264316,5.0,288908,263987,1156,329,1201
AKM,18.0,186067,224097,30.0,186578,223951,511,146,531
AKM,9.0,162984,276349,44.0,164833,276474,1849,125,1853
M24,7.0,359648,622314,5.0,341957,624191,17691,1877,17790
AKM,17.0,382389,129484,29.0,380316,129720,2073,236,2086
AKM,36.0,464261,640920,39.0,463734,641183,527,263,588
Kar98k,2.0,334667,676045,5.0,335604,663447,937,12598,12632
AKM,3.0,420269,324723,43.0,420698,324738,429,15,429
AKM,31.0,384876,125380,33.0,384400,125067,476,313,569
Kar98k,2.0,334765,675920,4.0,329907,671775,4858,4145,6386
Kar98k,2.0,528200,643985,11.0,527995,654656,205,10671,10672
AKM,16.0,584028,484208,15.0,582838,485376,1190,1168,1667
AKM,36.0,456781,629286,46.0,456797,629811,16,525,525
M24,7.0,356239,573607,14.0,361521,580399,5282,6792,8604
AKM,31.0,385503,125000,33.0,385206,125144,297,144,330
AKM,30.0,467126,640060,32.0,466964,639703,162,357,392
AKM,25.0,266627,431311,50.0,275049,432314,8422,1003,8481
Kar98k,2.0,186720,469046,15.0,188976,457625,2256,11421,11641
AKM,50.0,427639,631525,60.0,418882,634399,8757,2874,9216
Kar98k,2.0,196777,467325,8.0,202920,483387,6143,16062,17196
AKM,9.0,223860,468156,29.0,223896,460722,36,7434,7434
Kar98k,2.0,186671,469110,18.0,192393,453115,5722,15995,16987
AKM,30.0,169735,614594,59.0,172065,615359,2330,765,2452
Kar98k,51.0,446053,621393,64.0,446361,629563,308,8170,8175
AKM,46.0,555869,504073,71.0,555150,504041,719,32,719
Kar98k,2.0,196801,467542,9.0,213989,468349,17188,807,17206
Kar98k,2.0,209487,464912,6.0,210197,468110,710,3198,3275
AKM,25.0,399662,352681,26.0,395206,347897,4456,4784,6537
AWM,1.0,639000,367562,6.0,640972,381325,1972,13763,13903
AKM,6.0,699957,257235,2.0,700159,257091,202,144,248
AKM,10.0,367634,509372,47.0,367440,508512,194,860,881
AKM,20.0,296064,261537,16.0,303562,268471,7498,6934,10212
Kar98k,3.0,512317,415474,13.0,517168,411458,4851,4016,6297
AKM,10.0,355396,521996,33.0,350933,519587,4463,2409,5071
AKM,20.0,215428,278240,41.0,210624,276603,4804,1637,5075
AKM,1.0,279287,561748,40.0,281906,559362,2619,2386,3542
AKM,1.0,278544,567215,35.0,278422,567502,122,287,311
Kar98k,10.0,485310,449094,19.0,438762,468289,46548,19195,50350
AKM,8.0,447488,629189,32.0,451376,629054,3888,135,3890
AKM,1.0,281789,567068,35.0,283536,568107,1747,1039,2032
Kar98k,3.0,601335,403808,8.0,611203,404398,9868,590,9885
AKM,20.0,211683,276931,41.0,212011,276908,328,23,328
Kar98k,22.0,551467,547210,24.0,552499,537728,1032,9482,9537
AKM,11.0,698523,338260,13.0,696234,341923,2289,3663,4319
AKM,5.0,586412,250545,4.0,569704,263654,16708,13109,21236
Kar98k,5.0,634534,326523,11.0,641103,317654,6569,8869,11036
AKM,8.0,445041,629473,24.0,444714,628062,327,1411,1448
AKM,5.0,523417,478900,12.0,523782,479637,365,737,822
AKM,24.0,169914,625916,25.0,170011,625908,97,8,97
AKM,22.0,370765,408048,19.0,370854,408457,89,409,418
AKM,18.0,720371,333863,11.0,719958,334233,413,370,554
AKM,5.0,588335,248761,6.0,565400,263902,22935,15141,27482
AKM,4.0,570943,264089,6.0,564486,266883,6457,2794,7035
AKM,1.0,511276,261420,4.0,512194,256072,918,5348,5426
AKM,8.0,513034,370178,23.0,510710,369494,2324,684,2422
AKM,23.0,509992,370593,8.0,510182,370782,190,189,267
AKM,4.0,502323,308300,7.0,506119,303133,3796,5167,6411
AKM,4.0,472310,314938,9.0,472709,315058,399,120,416
AKM,16.0,379908,425486,15.0,379563,425826,345,340,484
AKM,17.0,369274,428828,20.0,369354,428828,80,0,80
AKM,17.0,371278,428566,20.0,371491,428546,213,20,213
AKM,4.0,472106,315123,9.0,471241,313999,865,1124,1418
AKM,17.0,369617,428536,20.0,369406,428644,211,108,237
AKM,16.0,367512,424255,17.0,368259,424193,747,62,749
M24,2.0,269927,449227,3.0,266698,443512,3229,5715,6564
AKM,34.0,287137,454901,35.0,289872,451940,2735,2961,4030
AKM,29.0,372060,126792,36.0,372394,128144,334,1352,1392
AKM,40.0,341573,175352,44.0,341967,173573,394,1779,1822
M24,2.0,277060,452146,4.0,260841,447278,16219,4868,16933
Kar98k,33.0,443976,628216,41.0,435949,624859,8027,3357,8700
AKM,40.0,341671,176139,44.0,342210,176666,539,527,753
Kar98k,8.0,366327,165124,29.0,364341,152959,1986,12165,12326
AKM,20.0,345165,313872,45.0,344950,314723,215,851,877
M24,2.0,282389,453982,7.0,276405,435031,5984,18951,19873
AKM,28.0,618412,607077,5.0,619868,607328,1456,251,1477
Kar98k,20.0,332709,378924,21.0,323644,371183,9065,7741,11920
AKM,14.0,464657,356326,20.0,471166,349973,6509,6353,9095
AKM,11.0,507067,313558,12.0,506837,310998,230,2560,2570
AKM,3.0,497192,279712,18.0,497560,280014,368,302,476
AKM,8.0,492874,332768,11.0,503758,328890,10884,3878,11554
AKM,12.0,506746,310978,10.0,505531,309152,1215,1826,2193
Kar98k,2.0,548428,369202,17.0,549387,382601,959,13399,13433
AWM,11.0,507915,347862,10.0,488117,344878,19798,2984,20021
AKM,27.0,621388,297031,3.0,621149,297176,239,145,279
AKM,26.0,622888,371921,5.0,623017,371670,129,251,282
AKM,8.0,172181,591831,21.0,171763,592428,418,597,728
AKM,2.0,533699,380327,,534269,378364,570,1963,2044
AKM,8.0,155024,623295,21.0,154950,623413,74,118,139
AKM,25.0,507561,381937,19.0,507814,381429,253,508,567
AKM,25.0,507548,380965,19.0,508065,380249,517,716,883
AKM,5.0,568151,293063,23.0,568072,293380,79,317,326
Kar98k,6.0,324841,304751,8.0,340588,292407,15747,12344,20008
AKM,8.0,361956,292953,6.0,337450,305809,24506,12856,27673
AKM,8.0,380523,283116,25.0,381133,284136,610,1020,1188
AKM,6.0,364843,435359,20.0,0,0,364843,435359,568021
AKM,22.0,638561,268973,13.0,638388,269399,173,426,459
AKM,17.0,450129,596665,24.0,450794,597091,665,426,789
AKM,6.0,365199,435011,20.0,0,0,365199,435011,567983
AKM,1.0,473107,401064,25.0,475557,400529,2450,535,2507
Kar98k,2.0,440497,636812,17.0,442295,632225,1798,4587,4926
Kar98k,7.0,309650,509512,19.0,320569,484977,10919,24535,26854
AKM,15.0,550679,559017,20.0,552936,543311,2257,15706,15867
Kar98k,1.0,546252,671332,2.0,543525,677768,2727,6436,6989
AKM,16.0,215965,273004,45.0,216090,274710,125,1706,1710
AKM,39.0,732735,436154,40.0,733685,436430,950,276,989
AKM,19.0,139036,293262,29.0,143464,290828,4428,2434,5052
AKM,15.0,733931,436201,39.0,732995,436328,936,127,944
AKM,7.0,304372,512729,24.0,305996,512872,1624,143,1630
Kar98k,7.0,310562,508917,19.0,319533,484310,8971,24607,26191
AKM,13.0,360328,248421,16.0,360271,247653,57,768,770
AKM,9.0,373694,405419,20.0,370478,404512,3216,907,3341
AKM,5.0,442773,301301,7.0,442529,298998,244,2303,2315
AKM,20.0,366339,402440,26.0,366478,401448,139,992,1001
AKM,5.0,395649,355572,24.0,393511,349314,2138,6258,6613
AKM,18.0,434726,449279,31.0,434754,448796,28,483,483
AKM,13.0,369028,251881,14.0,370505,251018,1477,863,1710
Kar98k,3.0,634052,515749,3.0,634425,515592,373,157,404
AKM,2.0,404513,483555,16.0,410911,477814,6398,5741,8596
Kar98k,18.0,634915,368016,17.0,615112,380532,19803,12516,23426
AKM,1.0,254396,540096,22.0,255758,541734,1362,1638,2130
AKM,1.0,266162,528694,22.0,266412,528896,250,202,321
AKM,1.0,400018,308879,17.0,401815,306960,1797,1919,2629
AKM,1.0,400289,309125,16.0,398844,309380,1445,255,1467
AKM,1.0,452859,228320,2.0,453469,225683,610,2637,2706
Kar98k,4.0,427437,218734,6.0,435581,233504,8144,14770,16866
AKM,17.0,404445,294334,18.0,404346,294408,99,74,123
AKM,1.0,453077,223910,2.0,452022,224449,1055,539,1184
AKM,1.0,422729,235665,5.0,423201,234247,472,1418,1494
AKM,11.0,238486,492274,14.0,238788,490385,302,1889,1912
AKM,28.0,628015,465872,37.0,627899,466272,116,400,416
AKM,7.0,227557,479949,9.0,227347,479833,210,116,239
AKM,11.0,651884,440576,28.0,650320,439976,1564,600,1675
AKM,4.0,289721,635822,23.0,296768,632149,7047,3673,7946
AKM,4.0,181735,488430,12.0,184461,487791,2726,639,2799
Kar98k,2.0,174460,484569,10.0,165414,471449,9046,13120,15936
AKM,28.0,627432,377959,37.0,626931,378225,501,266,567
M24,2.0,209938,468399,6.0,183862,428129,26076,40270,47975
AKM,22.0,621198,609027,34.0,620319,608487,879,540,1031
AKM,7.0,144385,332233,14.0,143643,332436,742,203,769
AKM,8.0,237482,419604,4.0,237514,419875,32,271,272
Kar98k,3.0,333272,529523,23.0,327394,534981,5878,5458,8021
AKM,1.0,224540,459842,4.0,222709,459768,1831,74,1832
AKM,5.0,207422,411124,12.0,209602,409675,2180,1449,2617
Kar98k,23.0,433670,642430,38.0,427179,645258,6491,2828,7080
AKM,25.0,169181,285774,29.0,171067,286326,1886,552,1965
Kar98k,3.0,327517,535110,21.0,325344,525914,2173,9196,9449
AKM,19.0,393753,436996,22.0,395953,440468,2200,3472,4110
AKM,25.0,169453,288052,29.0,169404,287465,49,587,589
Kar98k,19.0,723848,440626,32.0,725421,434419,1573,6207,6403
AKM,15.0,537855,415661,27.0,537722,417148,133,1487,1492
AKM,19.0,678855,461725,40.0,676726,464084,2129,2359,3177
AKM,20.0,238458,527974,,236982,528664,1476,690,1629
Kar98k,5.0,204869,353054,12.0,200908,362465,3961,9411,10210
Kar98k,1.0,300465,372067,16.0,0,0,300465,372067,478239
AKM,16.0,711821,331229,34.0,710007,330287,1814,942,2044
AKM,26.0,373386,404127,39.0,371419,410298,1967,6171,6476
Kar98k,5.0,237845,358203,8.0,239728,380450,1883,22247,22326
AKM,12.0,536248,600612,4.0,536398,605390,150,4778,4780
AKM,8.0,417054,475708,46.0,417305,474241,251,1467,1488
AKM,12.0,552148,481211,17.0,554830,475425,2682,5786,6377
Kar98k,1.0,687371,461826,45.0,687368,461711,3,115,115
Kar98k,5.0,476614,595826,6.0,469494,600450,7120,4624,8489
AKM,24.0,424866,292536,32.0,424529,292425,337,111,354
AKM,12.0,536078,598775,11.0,529155,598510,6923,265,6928
AKM,12.0,551392,476813,16.0,546739,516157,4653,39344,39618
Kar98k,2.0,628146,378126,36.0,625056,372433,3090,5693,6477
AKM,12.0,555165,478597,17.0,554628,473655,537,4942,4971
AKM,19.0,376992,424726,52.0,376971,426461,21,1735,1735
AKM,1.0,618608,301925,57.0,621739,298108,3131,3817,4936
AKM,5.0,293552,436186,29.0,293707,435858,155,328,362
AKM,1.0,625055,303931,60.0,623823,303978,1232,47,1232
AKM,29.0,437060,334028,55.0,437339,334291,279,263,383
AKM,2.0,599496,229604,3.0,600374,230443,878,839,1214
Kar98k,4.0,575344,100745,20.0,570734,106498,4610,5753,7372
AKM,2.0,601390,226947,3.0,601997,227982,607,1035,1199
AKM,22.0,370740,424335,24.0,372750,427927,2010,3592,4116
AKM,4.0,612072,193297,6.0,613462,194593,1390,1296,1900
Kar98k,1.0,605212,249992,9.0,595821,256250,9391,6258,11285
AKM,1.0,613438,241731,5.0,614311,239604,873,2127,2299
Kar98k,1.0,605978,250614,9.0,589711,252871,16267,2257,16422
AKM,1.0,608705,228175,2.0,601255,226978,7450,1197,7545
AKM,1.0,321164,344173,28.0,321625,340603,461,3570,3599
AKM,1.0,320386,344331,27.0,319206,342069,1180,2262,2551
Kar98k,1.0,505496,258251,13.0,502253,268357,3243,10106,10613
Kar98k,4.0,661328,30877,30.0,656198,39358,5130,8481,9911
AKM,1.0,614847,229884,4.0,604200,210614,10647,19270,22015
AKM,38.0,540514,420078,34.0,547792,424279,7278,4201,8403
Kar98k,35.0,570245,419786,58.0,571168,421570,923,1784,2008
Kar98k,8.0,450775,408199,43.0,461272,415009,10497,6810,12512
Kar98k,3.0,463956,225796,9.0,456925,240798,7031,15002,16567
AKM,6.0,200879,282246,57.0,206682,287170,5803,4924,7610
Kar98k,5.0,420700,383746,25.0,429166,387583,8466,3837,9294
Kar98k,1.0,444161,241190,4.0,448424,252629,4263,11439,12207
AKM,41.0,419813,324840,82.0,418722,324390,1091,450,1180
AKM,41.0,419657,326375,78.0,418990,324806,667,1569,1704
AKM,41.0,419925,327315,70.0,419672,327400,253,85,266
AKM,60.0,344517,689419,64.0,343407,683259,1110,6160,6259
AKM,11.0,345851,397894,27.0,346068,397195,217,699,731
AKM,4.0,434638,251747,8.0,444145,258281,9507,6534,11535
AKM,2.0,421487,275651,13.0,422689,276164,1202,513,1306
AKM,4.0,161494,291026,33.0,161824,290595,330,431,542
AKM,6.0,206692,287156,61.0,0,0,206692,287156,353808
AKM,38.0,538304,421239,35.0,546447,421382,8143,143,8144
Kar98k,2.0,458963,252605,3.0,454730,257098,4233,4493,6172
AKM,11.0,367796,407650,40.0,370283,404974,2487,2676,3653
Kar98k,8.0,454440,259672,12.0,475539,271688,21099,12016,24280
Kar98k,3.0,612442,233736,8.0,601519,217179,10923,16557,19835
AKM,20.0,606922,482129,26.0,606253,482507,669,378,768
AKM,3.0,520910,486924,22.0,515578,497502,5332,10578,11845
AKM,12.0,552120,364496,21.0,543464,369011,8656,4515,9762
AKM,21.0,419127,291992,20.0,417346,293886,1781,1894,2599
AKM,6.0,578209,242372,11.0,575817,244238,2392,1866,3033
AKM,9.0,532007,153533,10.0,525637,163465,6370,9932,11799
AKM,6.0,577168,241922,11.0,576354,228730,814,13192,13217
Kar98k,3.0,627625,242013,12.0,654024,243146,26399,1133,26423
AKM,8.0,565365,386333,20.0,564915,385730,450,603,752
AKM,22.0,476466,314602,27.0,485434,314980,8968,378,8975
Kar98k,8.0,585254,482052,20.0,594234,490322,8980,8270,12207
Kar98k,16.0,459088,550892,19.0,463115,547977,4027,2915,4971
Kar98k,3.0,443465,598050,16.0,442784,617488,681,19438,19449
AKM,8.0,662796,118643,28.0,660206,117576,2590,1067,2801
Kar98k,8.0,587775,484284,18.0,595660,498572,7885,14288,16319
AKM,19.0,463624,547785,16.0,463125,548655,499,870,1002
AKM,2.0,418041,636448,14.0,423689,639688,5648,3240,6511
AKM,2.0,417743,685849,3.0,418664,690112,921,4263,4361
AKM,5.0,458704,465194,3.0,459068,465711,364,517,632
AKM,5.0,458990,465311,3.0,459089,465191,99,120,155
AKM,18.0,449063,629092,4.0,448544,625534,519,3558,3595
AKM,2.0,440060,488979,6.0,439125,498042,935,9063,9111
AKM,2.0,516820,501185,15.0,515730,501575,1090,390,1157
Kar98k,4.0,471122,474000,5.0,454460,463692,16662,10308,19592
AKM,15.0,368845,398809,16.0,368560,399059,285,250,379
Kar98k,4.0,468053,471999,7.0,484313,456322,16260,15677,22586
AKM,1.0,730184,436792,23.0,731096,436692,912,100,917
Kar98k,4.0,471722,473950,11.0,465321,424924,6401,49026,49442
AKM,15.0,366037,395863,19.0,370546,393570,4509,2293,5058
AKM,15.0,365301,410649,19.0,365093,410853,208,204,291
AKM,15.0,366556,409894,28.0,364971,410078,1585,184,1595
AKM,8.0,367534,398642,14.0,367312,399374,222,732,764
Kar98k,4.0,266854,387996,10.0,265821,372669,1033,15327,15361
AKM,3.0,186852,393604,2.0,182047,396055,4805,2451,5394
AKM,3.0,240513,439313,26.0,240579,439403,66,90,111
AKM,13.0,374933,415501,39.0,374248,415412,685,89,690
AKM,5.0,294729,446054,14.0,294964,445542,235,512,563
AKM,7.0,402626,411458,16.0,402374,411005,252,453,518
AKM,35.0,372381,400258,37.0,372319,401334,62,1076,1077
AKM,34.0,424124,325694,43.0,424033,326190,91,496,504
AKM,30.0,372609,407155,13.0,373836,407779,1227,624,1376
AKM,35.0,361924,392846,,362071,393773,147,927,938
AKM,19.0,390255,139568,44.0,389349,139735,906,167,921
Kar98k,4.0,325620,397748,13.0,321552,393594,4068,4154,5814
AKM,44.0,389919,286940,46.0,389709,287120,210,180,276
Kar98k,5.0,216653,427606,8.0,203435,424329,13218,3277,13618
AKM,35.0,371900,401581,37.0,371951,401336,51,245,250
Kar98k,17.0,163384,623945,30.0,0,0,163384,623945,644981
Kar98k,1.0,207102,413123,5.0,189518,413807,17584,684,17597
AKM,20.0,287761,458423,22.0,289601,448123,1840,10300,10463
AKM,35.0,371422,398817,36.0,371841,398495,419,322,528
AKM,6.0,218277,396803,19.0,217977,396838,300,35,302
AKM,6.0,143464,477846,8.0,143651,477214,187,632,659
Kar98k,1.0,156946,505083,6.0,150581,498876,6365,6207,8890
AKM,22.0,351492,400297,14.0,351728,400205,236,92,253
AKM,25.0,620292,297115,26.0,621200,297971,908,856,1247
AKM,14.0,357990,410130,23.0,0,0,357990,410130,544392
Kar98k,6.0,129696,491889,7.0,137107,488305,7411,3584,8232
AKM,8.0,142969,482117,6.0,143894,483051,925,934,1314
AKM,12.0,582490,483840,20.0,582497,483627,7,213,213
AKM,25.0,0,0,26.0,620435,297111,620435,297111,687905
Kar98k,1.0,145587,529824,6.0,142743,526976,2844,2848,4024
Kar98k,3.0,141918,564466,4.0,126558,575191,15360,10725,18733
AKM,7.0,265679,275217,20.0,263942,275734,1737,517,1812
AKM,22.0,348434,397392,14.0,350981,400497,2547,3105,4015
AKM,12.0,270576,568754,4.0,270260,568843,316,89,328
AKM,18.0,716982,329338,23.0,719163,333247,2181,3909,4476
AKM,9.0,144942,334966,10.0,145105,335393,163,427,457
Kar98k,7.0,285909,522567,13.0,296051,516237,10142,6330,11955
Kar98k,23.0,350074,394979,16.0,358563,384258,8489,10721,13674
AKM,18.0,712840,324194,23.0,712980,324339,140,145,201
Kar98k,3.0,218720,351315,2.0,211461,351102,7259,213,7262
Kar98k,13.0,328862,530796,7.0,321598,532740,7264,1944,7519
AKM,22.0,713994,452980,21.0,715420,452132,1426,848,1659
AKM,16.0,359113,383587,17.0,357912,384471,1201,884,1491
AKM,6.0,358528,293604,11.0,358764,292615,236,989,1016
AKM,20.0,625552,378187,18.0,625514,378034,38,153,157
Kar98k,4.0,378734,249095,5.0,373013,250908,5721,1813,6001
AKM,11.0,151234,319725,2.0,147191,323490,4043,3765,5524
AKM,3.0,387089,264018,4.0,384836,263950,2253,68,2254
AKM,20.0,625986,378089,16.0,626175,378038,189,51,195
Kar98k,1.0,388198,256177,5.0,383303,256742,4895,565,4927
AKM,6.0,356375,295051,12.0,359153,292089,2778,2962,4060
AKM,14.0,357428,404202,8.0,357322,404124,106,78,131
AKM,13.0,616777,481389,18.0,0,0,616777,481389,782399
AWM,9.0,468936,473528,9.0,460247,473077,8689,451,8700
AKM,13.0,609454,478217,18.0,609512,478479,58,262,268
Kar98k,9.0,431584,473081,9.0,446900,473949,15316,868,15340
Kar98k,10.0,435309,636339,17.0,439371,623818,4062,12521,13163
Kar98k,9.0,490797,443634,3.0,476501,423495,14296,20139,24697
Kar98k,9.0,493037,435770,4.0,510718,428447,17681,7323,19137
